Complaint Year,Month,Patrol Borough Name,County,Offense Description,Bias Motive Description,Offense Category,General Offense Description
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL TRESPASS,ANTI-JEWISH,Religion/Religious Practice,OTHER MISDEMEANOR
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,4,PATROL BORO BRONX,BRONX,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,9,PATROL BORO BRONX,BRONX,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2019,1,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-WHITE,Race/Color,ASSAULT 3 & RELATED OFFENSES
2019,1,PATROL BORO BKLYN NORTH,KINGS,FELONY ASSAULT,ANTI-TRANSGENDER,Gender,FELONY ASSAULT
2019,1,PATROL BORO BKLYN SOUTH,KINGS,MURDER & NON-NEGL. MANSLAUGHTE,ANTI-ASIAN,Race/Color,OTHER FELONY
2019,1,PATROL BORO BKLYN SOUTH,KINGS,ROBBERY,ANTI-JEWISH,Religion/Religious Practice,ROBBERY/BURGLARY
2019,1,PATROL BORO BKLYN SOUTH,KINGS,ROBBERY,ANTI-JEWISH,Religion/Religious Practice,ROBBERY/BURGLARY
2019,1,PATROL BORO BKLYN SOUTH,KINGS,ROBBERY,ANTI-JEWISH,Religion/Religious Practice,ROBBERY/BURGLARY
2019,2,PATROL BORO BKLYN SOUTH,KINGS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2019,2,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2019,3,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,MISCELLANEOUS PENAL LAW
2019,3,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2019,3,PATROL BORO BKLYN NORTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-BLACK,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2019,3,PATROL BORO BKLYN NORTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-BLACK,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2019,3,PATROL BORO BKLYN NORTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2019,4,PATROL BORO BKLYN NORTH,KINGS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2019,1,PATROL BORO BKLYN NORTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2019,4,PATROL BORO BKLYN NORTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2019,4,PATROL BORO BKLYN NORTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2019,3,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-MUSLIM,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2019,4,PATROL BORO BKLYN NORTH,KINGS,FELONY ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,FELONY ASSAULT
2019,5,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-JEWISH,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2019,5,PATROL BORO BKLYN SOUTH,KINGS,DANGEROUS WEAPONS,ANTI-TRANSGENDER,Gender,OTHER FELONY
2019,5,PATROL BORO BKLYN NORTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2019,6,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2019,6,PATROL BORO BKLYN NORTH,KINGS,GRAND LARCENY,ANTI-JEWISH,Religion/Religious Practice,GRAND LARCENY
2019,6,PATROL BORO BKLYN SOUTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,CRIMINAL MISCHIEF & RELATED OF
2019,6,PATROL BORO BKLYN SOUTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,CRIMINAL MISCHIEF & RELATED OF
2019,6,PATROL BORO BKLYN NORTH,KINGS,ROBBERY,ANTI-MUSLIM,Religion/Religious Practice,ROBBERY/BURGLARY
2019,5,PATROL BORO BKLYN SOUTH,KINGS,ROBBERY,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ROBBERY/BURGLARY
2019,7,PATROL BORO BKLYN SOUTH,KINGS,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2019,7,PATROL BORO BKLYN SOUTH,KINGS,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2019,6,PATROL BORO BKLYN NORTH,KINGS,FELONY ASSAULT,ANTI-TRANSGENDER,Gender,FELONY ASSAULT
2019,7,PATROL BORO BKLYN NORTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-BLACK,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2019,7,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-BLACK,Race/Color,ASSAULT 3 & RELATED OFFENSES
2019,7,PATROL BORO BKLYN NORTH,KINGS,ROBBERY,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ROBBERY/BURGLARY
2019,7,PATROL BORO BKLYN NORTH,KINGS,ROBBERY,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ROBBERY/BURGLARY
2019,8,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-JEWISH,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2019,8,PATROL BORO BKLYN NORTH,KINGS,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2019,8,PATROL BORO BKLYN SOUTH,KINGS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-MUSLIM,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2019,8,PATROL BORO BKLYN NORTH,KINGS,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice,FELONY ASSAULT
2019,9,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2019,9,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,ASSAULT 3 & RELATED OFFENSES
2019,10,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2019,10,PATROL BORO BKLYN SOUTH,KINGS,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2019,11,PATROL BORO BKLYN NORTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-CATHOLIC,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2019,11,PATROL BORO BKLYN NORTH,KINGS,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2019,11,PATROL BORO BKLYN SOUTH,KINGS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2019,11,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2019,11,PATROL BORO BKLYN SOUTH,KINGS,GRAND LARCENY,ANTI-JEWISH,Religion/Religious Practice,GRAND LARCENY
2019,11,PATROL BORO BKLYN SOUTH,KINGS,GRAND LARCENY,ANTI-JEWISH,Religion/Religious Practice,GRAND LARCENY
2019,11,PATROL BORO BKLYN SOUTH,KINGS,GRAND LARCENY,ANTI-JEWISH,Religion/Religious Practice,GRAND LARCENY
2019,12,PATROL BORO BKLYN SOUTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-MUSLIM,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2019,12,PATROL BORO BKLYN SOUTH,KINGS,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice,FELONY ASSAULT
2019,12,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2019,12,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2019,12,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2020,1,PATROL BORO BKLYN NORTH,KINGS,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice,FELONY ASSAULT
2020,1,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-JEWISH,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2020,1,PATROL BORO BKLYN NORTH,KINGS,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2020,2,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2020,3,PATROL BORO BKLYN NORTH,KINGS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2020,3,PATROL BORO BKLYN SOUTH,KINGS,GRAND LARCENY,ANTI-ASIAN,Race/Color,GRAND LARCENY
2020,3,PATROL BORO BKLYN SOUTH,KINGS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-ASIAN,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2020,5,PATROL BORO BKLYN NORTH,KINGS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2020,5,PATROL BORO BKLYN NORTH,KINGS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2020,3,PATROL BORO BKLYN NORTH,KINGS,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2020,3,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2020,4,PATROL BORO BKLYN NORTH,KINGS,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice,FELONY ASSAULT
2020,5,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-GENDER NON-CONFORMING,Gender,ASSAULT 3 & RELATED OFFENSES
2020,5,PATROL BORO BKLYN NORTH,KINGS,FELONY ASSAULT,ANTI-TRANSGENDER,Gender,FELONY ASSAULT
2020,5,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2020,5,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2020,4,PATROL BORO BKLYN NORTH,KINGS,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice,FELONY ASSAULT
2020,6,PATROL BORO BKLYN SOUTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2020,5,PATROL BORO BKLYN SOUTH,KINGS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2020,6,PATROL BORO BKLYN NORTH,KINGS,FELONY ASSAULT,ANTI-WHITE,Race/Color,FELONY ASSAULT
2020,8,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,MISCELLANEOUS PENAL LAW
2020,8,PATROL BORO BKLYN NORTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2020,10,PATROL BORO BKLYN SOUTH,KINGS,BURGLARY,ANTI-JEWISH,Religion/Religious Practice,ROBBERY/BURGLARY
2020,11,PATROL BORO BKLYN NORTH,KINGS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2020,11,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2020,11,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-FEMALE,Gender,ASSAULT 3 & RELATED OFFENSES
2020,12,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-FEMALE,Gender,ASSAULT 3 & RELATED OFFENSES
2020,12,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-FEMALE,Gender,ASSAULT 3 & RELATED OFFENSES
2020,12,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-FEMALE,Gender,ASSAULT 3 & RELATED OFFENSES
2020,12,PATROL BORO BKLYN SOUTH,KINGS,BURGLARY,ANTI-JEWISH,Religion/Religious Practice,ROBBERY/BURGLARY
2020,12,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2020,12,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2020,12,PATROL BORO BKLYN SOUTH,KINGS,BURGLARY,ANTI-JEWISH,Religion/Religious Practice,ROBBERY/BURGLARY
2021,1,PATROL BORO BKLYN NORTH,KINGS,ROBBERY,ANTI-FEMALE,Gender,ROBBERY/BURGLARY
2020,8,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-FEMALE,Gender,ASSAULT 3 & RELATED OFFENSES
2020,11,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-FEMALE,Gender,ASSAULT 3 & RELATED OFFENSES
2020,11,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-FEMALE,Gender,ASSAULT 3 & RELATED OFFENSES
2020,12,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-FEMALE,Gender,ASSAULT 3 & RELATED OFFENSES
2020,12,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-FEMALE,Gender,ASSAULT 3 & RELATED OFFENSES
2020,12,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-FEMALE,Gender,ASSAULT 3 & RELATED OFFENSES
2021,1,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-FEMALE,Gender,ASSAULT 3 & RELATED OFFENSES
2021,1,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-FEMALE,Gender,ASSAULT 3 & RELATED OFFENSES
2021,2,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,3,PATROL BORO BKLYN SOUTH,KINGS,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2021,2,PATROL BORO BKLYN NORTH,KINGS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,OFF. AGNST PUB ORD SENSBLTY &
2021,3,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,3,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,3,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,4,PATROL BORO BKLYN SOUTH,KINGS,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2021,4,PATROL BORO BKLYN SOUTH,KINGS,ROBBERY,ANTI-ASIAN,Race/Color,ROBBERY/BURGLARY
2021,5,PATROL BORO BKLYN SOUTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-CATHOLIC,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,5,PATROL BORO BKLYN SOUTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-CATHOLIC,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,5,PATROL BORO BKLYN SOUTH,KINGS,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice,FELONY ASSAULT
2021,5,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,5,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-JEWISH,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2021,5,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-JEWISH,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2021,5,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-JEWISH,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2021,5,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-JEWISH,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2021,5,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-JEWISH,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2021,5,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-JEWISH,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2021,5,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,5,PATROL BORO BKLYN SOUTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,6,PATROL BORO BKLYN SOUTH,KINGS,ROBBERY,ANTI-ASIAN,Race/Color,ROBBERY/BURGLARY
2021,6,PATROL BORO BKLYN SOUTH,KINGS,ROBBERY,ANTI-ASIAN,Race/Color,ROBBERY/BURGLARY
2021,6,PATROL BORO BKLYN SOUTH,KINGS,FELONY ASSAULT,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,FELONY ASSAULT
2021,6,PATROL BORO BKLYN SOUTH,KINGS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,6,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,6,PATROL BORO BKLYN NORTH,KINGS,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2021,5,PATROL BORO BKLYN NORTH,KINGS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-ASIAN,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2021,8,PATROL BORO BKLYN SOUTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,7,PATROL BORO BKLYN NORTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,9,PATROL BORO BKLYN NORTH,KINGS,ROBBERY,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ROBBERY/BURGLARY
2021,9,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2021,9,PATROL BORO BKLYN NORTH,KINGS,ASSAULT 3 & RELATED OFFENSES,ANTI-JEWISH,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2021,9,PATROL BORO BKLYN SOUTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,7,PATROL BORO BKLYN SOUTH,KINGS,CRIMINAL MISCHIEF & RELATED OF,ANTI-BLACK,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2019,1,PATROL BORO MAN NORTH,NEW YORK,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2019,2,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-BLACK,Race/Color,FELONY ASSAULT
2019,2,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-BLACK,Race/Color,FELONY ASSAULT
2019,2,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-MUSLIM,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2019,3,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-WHITE,Race/Color,FELONY ASSAULT
2019,3,PATROL BORO MAN SOUTH,NEW YORK,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2019,3,PATROL BORO MAN SOUTH,NEW YORK,ROBBERY,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ROBBERY/BURGLARY
2019,4,PATROL BORO MAN SOUTH,NEW YORK,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2019,3,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2019,3,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,FELONY ASSAULT
2019,6,PATROL BORO MAN SOUTH,NEW YORK,MISCELLANEOUS PENAL LAW,ANTI-BLACK,Race/Color,MISCELLANEOUS PENAL LAW
2019,6,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-MUSLIM,Religion/Religious Practice,FELONY ASSAULT
2019,6,PATROL BORO MAN NORTH,NEW YORK,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2019,3,PATROL BORO MAN NORTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-WHITE,Race/Color,ASSAULT 3 & RELATED OFFENSES
2019,5,PATROL BORO MAN NORTH,NEW YORK,CRIMINAL MISCHIEF & RELATED OF,ANTI-LGBT (MIXED GROUP),Sexual Orientation,CRIMINAL MISCHIEF & RELATED OF
2019,7,PATROL BORO MAN NORTH,NEW YORK,CRIMINAL MISCHIEF & RELATED OF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,CRIMINAL MISCHIEF & RELATED OF
2019,6,PATROL BORO MAN SOUTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2019,7,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-WHITE,Race/Color,ASSAULT 3 & RELATED OFFENSES
2019,7,PATROL BORO MAN NORTH,NEW YORK,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2019,8,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-WHITE,Race/Color,FELONY ASSAULT
2019,8,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-WHITE,Race/Color,ASSAULT 3 & RELATED OFFENSES
2019,8,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-WHITE,Race/Color,FELONY ASSAULT
2019,8,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-WHITE,Race/Color,ASSAULT 3 & RELATED OFFENSES
2019,8,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-WHITE,Race/Color,ASSAULT 3 & RELATED OFFENSES
2019,9,PATROL BORO MAN NORTH,NEW YORK,FELONY ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,FELONY ASSAULT
2019,9,PATROL BORO MAN NORTH,NEW YORK,FELONY ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,FELONY ASSAULT
2019,9,PATROL BORO MAN NORTH,NEW YORK,FELONY ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,FELONY ASSAULT
